question_id,content_asset_path,correct_option,n_attempts,n_students,empirical_correctness,eb_difficulty,irt_item_difficulty,irt_quintile
17,data/eedi_public_download/extracted/data/images/17.jpg,4,848,848,0.42924528301886794,0.5699211871191294,0.4098505,4
63,data/eedi_public_download/extracted/data/images/63.jpg,4,1178,1178,0.3089983022071307,0.6894705331695632,1.0962808,5
67,data/eedi_public_download/extracted/data/images/67.jpg,1,367,367,0.3678474114441417,0.6287557307030434,0.7153538,5
107,data/eedi_public_download/extracted/data/images/107.jpg,2,78,78,0.3717948717948718,0.613962588466441,0.30844223,4
118,data/eedi_public_download/extracted/data/images/118.jpg,4,2488,2488,0.5184887459807074,0.48155303630673374,-0.032283902,3
124,data/eedi_public_download/extracted/data/images/124.jpg,2,1260,1260,0.38095238095238093,0.6181355511914873,0.6622453,4
129,data/eedi_public_download/extracted/data/images/129.jpg,3,2258,2258,0.4796279893711249,0.5202607646589892,0.0743476,3
148,data/eedi_public_download/extracted/data/images/148.jpg,2,2459,2459,0.3794225294835299,0.6201027836209843,0.65250206,4
193,data/eedi_public_download/extracted/data/images/193.jpg,3,2315,2315,0.5395248380129589,0.46060309820874346,-0.15546721,2
207,data/eedi_public_download/extracted/data/images/207.jpg,3,2155,2155,0.5443155452436195,0.4558421598581849,-0.08180937,3
225,data/eedi_public_download/extracted/data/images/225.jpg,1,90,90,0.34444444444444444,0.6405060316082463,0.9387063,5
283,data/eedi_public_download/extracted/data/images/283.jpg,2,2650,2650,0.5539622641509434,0.44619936912318847,-0.27686432,2
293,data/eedi_public_download/extracted/data/images/293.jpg,2,2634,2634,0.5660592255125285,0.43414537771223827,-0.33573768,2
312,data/eedi_public_download/extracted/data/images/312.jpg,1,2796,2796,0.8594420600858369,0.14171031803668843,-2.0355604,1
315,data/eedi_public_download/extracted/data/images/315.jpg,1,9,9,0.7777777777777778,0.35885651411612807,-1.183965,1
329,data/eedi_public_download/extracted/data/images/329.jpg,4,166,166,0.27710843373493976,0.7108444574178964,1.1506382,5
332,data/eedi_public_download/extracted/data/images/332.jpg,2,2910,2910,0.6037800687285223,0.3965237482976376,-0.4277797,2
338,data/eedi_public_download/extracted/data/images/338.jpg,3,2163,2163,0.26537216828478966,0.7336067192034303,1.2477547,5
345,data/eedi_public_download/extracted/data/images/345.jpg,2,4,4,0.5,0.49504378993515175,0.14193279,3
382,data/eedi_public_download/extracted/data/images/382.jpg,4,137,137,0.2846715328467153,0.7013660262486006,1.1193181,5
390,data/eedi_public_download/extracted/data/images/390.jpg,3,554,554,0.37545126353790614,0.6224036715172392,0.6764383,4
395,data/eedi_public_download/extracted/data/images/395.jpg,1,191,191,0.3507853403141361,0.6420491345691939,0.79533815,5
445,data/eedi_public_download/extracted/data/images/445.jpg,3,2454,2454,0.42746536267318663,0.5722379422128212,0.39522946,4
