path,bytes,mtime_utc,sha256
LLM_out/doubao_1.8/race_llm_prompts_test_doubao.jsonl,10037610,2025-12-05T02:19:14+00:00,f2a4c40e33946de01d1a341a9cf9f5422a73cceba7308a2dd5b330038eacd25a
LLM_out/doubao_1.8/race_llm_prompts_test_doubao_back.jsonl,9938804,2025-12-05T02:19:14+00:00,d1c3fd3090b7b793a279c811dd7c5cad9508e324cf488c02817f7007d2338e56
LLM_out/doubao_1.8/race_llm_prompts_val_doubao.jsonl,4252863,2025-12-05T02:19:14+00:00,8e43ab33102793aab614f727dd1be1043e354787a9daf645a9de8cde78d59dfd
LLM_out/doubao_1.8/race_llm_prompts_val_doubao_back.jsonl,4195423,2025-12-05T02:19:14+00:00,2c721d55524e7ca3efb515a5441e1fecdeac1fab8e7bbc87476aec5067fdaef8
LLM_out/doubao_1.8/race_llm_prompts_val_doubao_high_fill.jsonl,990766,2026-07-26T13:15:43.387782+00:00,0d6ea9df055ab08f9dfffc6a01eacb69888cf0525a66faf65a0c7477aa10e509
LLM_out/doubao_1.8/race_llm_prompts_val_doubao_merged.jsonl,992174,2026-07-26T13:16:24.927355+00:00,759e9f9b549745cb3bde5014624e618ca6c3440957f886c1367dda6a4ff7c437
LLM_out/gpt4o_1124/race_llm_prompts_test_gpt.jsonl,10143649,2025-12-05T02:19:14+00:00,09c513c6111a7248c9e8af51cbce7a0f3fc24c0f75b535942b12b6bdeec78888
LLM_out/gpt4o_1124/race_llm_prompts_test_gpt_back.jsonl,10044900,2025-12-05T02:19:14+00:00,375693b3dab2c58e5485130e7647402e8ffb5c30e6b39f172602997f0c7c31df
LLM_out/gpt4o_1124/race_llm_prompts_val_gpt.jsonl,4329099,2025-12-05T02:19:14+00:00,3736923830b3f55ae54aae75925223627c5e80764164a42a3af8dc8cffa05a77
LLM_out/gpt4o_1124/race_llm_prompts_val_gpt_back.jsonl,4245791,2025-12-05T02:19:14+00:00,f66209dd3f585029c16236d7d9e09a6c3998d531dcf644aa1ebd41e5d2b88698
